record_id,channel,customer_message,agent_response,resolution_summary,created_at,resolved_at,product_area,issue_category,raw_text,audit_status,exclusion_reason,duplicate_group_id,anomaly_flags
NR-0001,chat,Messages tagged billing for our bakery still land in Unassigned after we changed the routing rule.,"Open Routing rules, move the billing rule above the catch-all rule, then run the preview against the last five messages before saving.",Rule order corrected; future billing messages route to the expected team.,2026-05-01T08:15:00Z,2026-05-01T09:05:00Z,inbox_routing,technical_troubleshooting,"Customer: Messages tagged billing for our bakery still land in Unassigned after we changed the routing rule.
Agent: Open Routing rules, move the billing rule above the catch-all rule, then run the preview against the last five messages before saving.
Resolution: Rule order corrected; future billing messages route to the expected team.",keep,,DUP-ROUTE-001,
NR-0002,email,We need after-hours web leads for the bakery to create a manager task and send an SMS summary.,"Create an automation with the after-hours schedule, add the task action first, then add the SMS summary action with the lead name and source fields.",After-hours automation configured with task creation and SMS summary.,2026-05-02T09:15:00Z,2026-05-02T10:05:00Z,automations,configuration,"Subject: Northstar Relay support
Customer wrote: We need after-hours web leads for the bakery to create a manager task and send an SMS summary.
Support replied: Create an automation with the after-hours schedule, add the task action first, then add the SMS summary action with the lead name and source fields.",keep,,,
NR-0003,internal_note,The invoice receipt for our bakery shows the old billing contact name.,"Update the billing contact in Workspace billing, then regenerate the receipt from Billing history so the exported PDF uses the new name.",Billing contact updated and receipt regenerated from billing history.,2026-05-03T10:15:00Z,2026-05-03T11:05:00Z,billing,billing_question,"Case note. Customer problem: The invoice receipt for our bakery shows the old billing contact name. Support response: Update the billing contact in Workspace billing, then regenerate the receipt from Billing history so the exported PDF uses the new name. Outcome: Billing contact updated and receipt regenerated from billing history.",keep,,,note_derived
NR-0004,mixed,Shopfront orders are not creating Relay tasks for the bakery since yesterday.,"Reconnect the Shopfront integration, confirm task creation is enabled, and replay the failed order event from Integration logs.",Integration reconnected and failed order event replayed.,2026-05-04T11:15:00Z,2026-05-04T12:05:00Z,integrations,technical_troubleshooting,"MIXED THREAD :: user=Shopfront orders are not creating Relay tasks for the bakery since yesterday. :: assistant=Reconnect the Shopfront integration, confirm task creation is enabled, and replay the failed order event from Integration logs. :: outcome=Integration reconnected and failed order event replayed.",keep,,,mixed_format_source
NR-0005,chat,The weekly response report for the bakery is missing closed chat conversations.,"Edit the report filter, include chat as a source, and set conversation status to closed plus resolved so the export matches support totals.",Report filter updated to include closed chat conversations.,2026-05-05T12:15:00Z,2026-05-05T13:05:00Z,reporting,how_to,"Customer: The weekly response report for the bakery is missing closed chat conversations.
Agent: Edit the report filter, include chat as a source, and set conversation status to closed plus resolved so the export matches support totals.
Resolution: Report filter updated to include closed chat conversations.",keep,,,
NR-0006,email,Push notifications for our bakery arrive late on Android but desktop alerts are instant.,"Check that battery optimization is disabled for Northstar Relay, then refresh the device registration from Mobile settings.",Mobile device registration refreshed after battery optimization check.,2026-05-06T13:15:00Z,2026-05-06T14:05:00Z,mobile_app,technical_troubleshooting,"Subject: Northstar Relay support
Customer wrote: Push notifications for our bakery arrive late on Android but desktop alerts are instant.
Support replied: Check that battery optimization is disabled for Northstar Relay, then refresh the device registration from Mobile settings.",keep,,,
NR-0007,internal_note,A new teammate at the bakery cannot accept the invite after we changed domains.,"Cancel the pending invite, send a new invite to the current domain, and ask the teammate to open it in a private browser window.",Invite resent for the current domain and pending stale invite removed.,2026-05-07T14:15:00Z,2026-05-07T15:05:00Z,user_management,account_access,"Case note. Customer problem: A new teammate at the bakery cannot accept the invite after we changed domains. Support response: Cancel the pending invite, send a new invite to the current domain, and ask the teammate to open it in a private browser window. Outcome: Invite resent for the current domain and pending stale invite removed.",keep,,,note_derived
NR-0008,mixed,The bakery workspace shows appointments in the wrong local time.,"Set the workspace time zone under Settings, then refresh calendar sync so existing appointment cards display in the local time.",Workspace time zone corrected and calendar sync refreshed.,2026-05-08T15:15:00Z,2026-05-08T16:05:00Z,workspace_settings,configuration,"MIXED THREAD :: user=The bakery workspace shows appointments in the wrong local time. :: assistant=Set the workspace time zone under Settings, then refresh calendar sync so existing appointment cards display in the local time. :: outcome=Workspace time zone corrected and calendar sync refreshed.",keep,,,mixed_format_source
NR-0009,chat,Can we pin VIP customer messages for the bakery above the regular inbox queue?,"Add a VIP tag rule with priority inbox placement, then turn on pinned queue view for the support team.",VIP tag rule added and pinned queue view enabled.,2026-05-09T16:15:00Z,2026-05-09T17:05:00Z,inbox_routing,how_to,"Customer: Can we pin VIP customer messages for the bakery above the regular inbox queue?
Agent: Add a VIP tag rule with priority inbox placement, then turn on pinned queue view for the support team.
Resolution: VIP tag rule added and pinned queue view enabled.",keep,,,
NR-0010,email,Our reminder automation for the bakery sends twice when a customer replies quickly.,Add a condition that skips the reminder if the conversation received a customer reply after the trigger time.,Reminder automation updated with a reply-after-trigger condition.,2026-05-10T08:15:00Z,2026-05-10T09:05:00Z,automations,technical_troubleshooting,"Subject: Northstar Relay support
Customer wrote: Our reminder automation for the bakery sends twice when a customer replies quickly.
Support replied: Add a condition that skips the reminder if the conversation received a customer reply after the trigger time.",keep,,,
